64	&&&	1.5625e-02	&&&	1.0861e-02	&&&	------	\\ 
128	&&&	7.8125e-03	&&&	5.4141e-03	&&&	1.0043	\\ 
256	&&&	3.9062e-03	&&&	2.7029e-03	&&&	1.0022	\\ 
512	&&&	1.9531e-03	&&&	1.3504e-03	&&&	1.0011	\\ 
1024	&&&	9.7656e-04	&&&	6.7495e-04	&&&	1.0006	\\ 
2048	&&&	4.8828e-04	&&&	3.3741e-04	&&&	1.0003	\\ 
4096	&&&	2.4414e-04	&&&	1.6869e-04	&&&	1.0001	\\ 
8192	&&&	1.2207e-04	&&&	8.4341e-05	&&&	1.0001	\\ 
16384	&&&	6.1035e-05	&&&	4.2169e-05	&&&	1.0	\\ 
