64	&&&	1.5625e-02	&&&	1.5861e-01	&&&	------	\\ 
128	&&&	7.8125e-03	&&&	8.0079e-02	&&&	0.986	\\ 
256	&&&	3.9062e-03	&&&	4.0235e-02	&&&	0.99295	\\ 
512	&&&	1.9531e-03	&&&	2.0167e-02	&&&	0.99647	\\ 
1024	&&&	9.7656e-04	&&&	1.0096e-02	&&&	0.99823	\\ 
2048	&&&	4.8828e-04	&&&	5.0511e-03	&&&	0.99911	\\ 
4096	&&&	2.4414e-04	&&&	2.5263e-03	&&&	0.99956	\\ 
8192	&&&	1.2207e-04	&&&	1.2633e-03	&&&	0.99978	\\ 
16384	&&&	6.1035e-05	&&&	6.3172e-04	&&&	0.99989	\\ 
